entityName,entityType,holeID,startXLocation,startYLocation,startZLocation,endXLocation,endYLocation,endZLocation,gradeXLocation,gradeYLocation,gradeZLocation,subdrillAmount,subdrillLength,benchHeight,holeDiameter,holeType,holeLengthCalculated,holeAngle,holeBearing,fromHoleID,timingDelayMilliseconds,colorHexDecimal,measuredLength,measuredLengthTimeStamp,measuredMass,measuredMassTimeStamp,measuredComment,measuredCommentTimeStamp,visible,rowID,posID,burden,spacing,connectorCurve,holeTime
WINDING,hole,19,478296.8018,6772279.2443,210,478296.8018,6772279.2443,198.5000,478296.8018,6772279.2443,198.5000,0,0,11.5000,229,Production,11.5000,0,90,WINDING:::19,0,red,0,09/05/1975 00:00:00,0,09/05/1975 00:00:00,None,09/05/1975 00:00:00,"true",4,1,2.8110,6,0,0
WINDING,hole,20,478299.3376,6772273.8065,210,478299.3376,6772273.8065,198.5000,478299.3376,6772273.8065,198.5000,0,0,11.5000,229,Production,11.5000,0,90,WINDING:::20,0,red,0,09/05/1975 00:00:00,0,09/05/1975 00:00:00,None,09/05/1975 00:00:00,"true",4,2,2.8110,5.9980,0,0
WINDING,hole,21,478300.9081,6772268.0173,210,478300.9081,6772268.0173,198.5000,478300.9081,6772268.0173,198.5000,0,0,11.5000,229,Production,11.5000,0,90,WINDING:::21,0,red,0,09/05/1975 00:00:00,0,09/05/1975 00:00:00,None,09/05/1975 00:00:00,"true",4,3,2.8110,5.9990,0,0
WINDING,hole,22,478301.4680,6772262.0467,210,478301.4680,6772262.0467,198.5000,478301.4680,6772262.0467,198.5000,0,0,11.5000,229,Production,11.5000,0,90,WINDING:::22,0,red,0,09/05/1975 00:00:00,0,09/05/1975 00:00:00,None,09/05/1975 00:00:00,"true",5,1,2.2680,5.9950,0,0
WINDING,hole,23,478301.0013,6772256.0695,210,478301.0013,6772256.0695,198.5000,478301.0013,6772256.0695,198.5000,0,0,11.5000,229,Production,11.5000,0,90,WINDING:::23,0,red,0,09/05/1975 00:00:00,0,09/05/1975 00:00:00,None,09/05/1975 00:00:00,"true",5,2,2.2680,5.9940,0,0
WINDING,hole,24,478299.5423,6772250.2560,210,478299.5423,6772250.2560,198.5000,478299.5423,6772250.2560,198.5000,0,0,11.5000,229,Production,11.5000,0,90,WINDING:::24,0,red,0,09/05/1975 00:00:00,0,09/05/1975 00:00:00,None,09/05/1975 00:00:00,"true",5,3,2.2680,5.9870,0,0
WINDING,hole,25,478298.5337,6772244.3547,210,478298.5337,6772244.3547,198.5000,478298.5337,6772244.3547,198.5000,0,0,11.5000,229,Production,11.5000,0,90,WINDING:::25,0,red,0,09/05/1975 00:00:00,0,09/05/1975 00:00:00,None,09/05/1975 00:00:00,"true",5,4,2.2680,5.9530,0,0
WINDING,hole,26,478299.5475,6772238.4882,210,478299.5475,6772238.4882,198.5000,478299.5475,6772238.4882,198.5000,0,0,11.5000,229,Production,11.5000,0,90,WINDING:::26,0,red,0,09/05/1975 00:00:00,0,09/05/1975 00:00:00,None,09/05/1975 00:00:00,"true",5,5,2.2680,5.9820,0,0
WINDING,hole,27,478305.4019,6772237.7645,210,478305.4019,6772237.7645,198.5000,478305.4019,6772237.7645,198.5000,0,0,11.5000,229,Production,11.5000,0,90,WINDING:::27,0,red,0,09/05/1975 00:00:00,0,09/05/1975 00:00:00,None,09/05/1975 00:00:00,"true",6,1,3.1180,5.9440,0,0
WINDING,hole,28,478303.5598,6772243.4154,210,478303.5598,6772243.4154,198.5000,478303.5598,6772243.4154,198.5000,0,0,11.5000,229,Production,11.5000,0,90,WINDING:::28,0,red,0,09/05/1975 00:00:00,0,09/05/1975 00:00:00,None,09/05/1975 00:00:00,"true",6,2,3.1180,5.9730,0,0
WINDING,hole,29,478304.4570,6772249.3202,210,478304.4570,6772249.3202,198.5000,478304.4570,6772249.3202,198.5000,0,0,11.5000,229,Production,11.5000,0,90,WINDING:::29,0,red,0,09/05/1975 00:00:00,0,09/05/1975 00:00:00,None,09/05/1975 00:00:00,"true",6,3,3.1180,5.9590,0,0
WINDING,hole,30,478305.9381,6772255.1291,210,478305.9381,6772255.1291,198.5000,478305.9381,6772255.1291,198.5000,0,0,11.5000,229,Production,11.5000,0,90,WINDING:::30,0,red,0,09/05/1975 00:00:00,0,09/05/1975 00:00:00,None,09/05/1975 00:00:00,"true",7,1,2.2320,6,0,0
WINDING,hole,31,478306.4610,6772261.1062,210,478306.4610,6772261.1062,198.5000,478306.4610,6772261.1062,198.5000,0,0,11.5000,229,Production,11.5000,0,90,WINDING:::31,0,red,0,09/05/1975 00:00:00,0,09/05/1975 00:00:00,None,09/05/1975 00:00:00,"true",7,2,2.2320,5.9920,0,0
WINDING,hole,32,478306.0464,6772267.0834,210,478306.0464,6772267.0834,198.5000,478306.0464,6772267.0834,198.5000,0,0,11.5000,229,Production,11.5000,0,90,WINDING:::32,0,red,0,09/05/1975 00:00:00,0,09/05/1975 00:00:00,None,09/05/1975 00:00:00,"true",7,3,2.2320,5.9820,0,0
WINDING,hole,33,478304.7688,6772272.9275,210,478304.7688,6772272.9275,198.5000,478304.7688,6772272.9275,198.5000,0,0,11.5000,229,Production,11.5000,0,90,WINDING:::33,0,red,0,09/05/1975 00:00:00,0,09/05/1975 00:00:00,None,09/05/1975 00:00:00,"true",7,4,2.2320,5.9780,0,0
WINDING,hole,34,478302.6567,6772278.5195,210,478302.6567,6772278.5195,198.5000,478302.6567,6772278.5195,198.5000,0,0,11.5000,229,Production,11.5000,0,90,WINDING:::34,0,red,0,09/05/1975 00:00:00,0,09/05/1975 00:00:00,None,09/05/1975 00:00:00,"true",7,5,2.2320,5.9880,0,0
