CREST300,poly,1,475628.2189,6778925.02,300,1,BLUE
CREST300,poly,2,475529.2061,6779304.231,300,1,BLUE
CREST300,poly,3,475524.01,6772422.916,300,1,BLUE
CREST300,poly,4,475518.7029,6772422.165,300,1,BLUE
CREST300,poly,5,475513.346,6772421.986,300,1,BLUE
CREST300,poly,6,475459.0446,6772423.087,300,1,BLUE
CREST300,poly,7,475453.8831,6772423.873,300,1,BLUE
CREST300,poly,8,475449.1009,6772425.969,300,1,BLUE
CREST300,poly,9,475445.0241,6772429.23,300,1,BLUE
CREST300,poly,10,475424.6919,6772450.404,300,1,BLUE
CREST300,poly,11,475420.6661,6772456.54,300,1,BLUE
CREST300,poly,12,475419.125,6772463.716,300,1,BLUE
CREST300,poly,13,475420.2761,6772470.964,300,1,BLUE
CREST300,poly,14,475450.4611,6772555.751,300,1,BLUE
CREST300,poly,15,475452.9754,6772561.392,300,1,BLUE
CREST300,poly,16,475456.328,6772566.579,300,1,BLUE
CREST300,poly,17,475460.4391,6772571.188,300,1,BLUE
CREST300,poly,18,475482.8818,6772592.739,300,1,BLUE
CREST300,poly,19,475487.6533,6772596.659,300,1,BLUE
CREST300,poly,20,475492.9715,6772599.799,300,1,BLUE
CREST300,poly,21,475498.7096,6772602.083,300,1,BLUE
CREST300,poly,22,475572.8471,6772625.137,300,1,BLUE
CREST300,poly,23,475587.4252,6772626.849,300,1,BLUE
CREST300,poly,24,475601.6396,6772623.188,300,1,BLUE
CREST300,poly,25,475613.5763,6772614.646,300,1,BLUE
CREST300,poly,26,475622.4781,6772605.376,300,1,BLUE
CREST300,poly,27,475628.5934,6772600.483,300,1,BLUE
CREST300,poly,28,475635.7666,6772597.34,300,1,BLUE
CREST300,poly,29,475643.5089,6772596.161,300,1,BLUE
CREST300,poly,30,475689.3574,6772595.231,300,1,BLUE
CREST300,poly,31,475697.141,6772596.096,300,1,BLUE
CREST300,poly,32,475704.4357,6772598.946,300,1,BLUE
CREST300,poly,33,475710.7443,6772603.587,300,1,BLUE
CREST300,poly,34,475725.8951,6772618.135,300,1,BLUE
CREST300,poly,35,475734.3064,6772624.323,300,1,BLUE
CREST300,poly,36,475744.0327,6772628.123,300,1,BLUE
CREST300,poly,37,475754.411,6772629.275,300,1,BLUE
